tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,jpg_url,retweet_count,favorite_count,dog_type,year,month,day_of_week,dog_name,count_url,dog_sex
757725642876129280,2016-07-25 23:54:05+00:00,Twitter for iPhone,This is Beckham. He fell asleep at the wheel. Very churlish. Looks to have a backpup driver tho. That's good. 11/10 ,"https://twitter.com/dog_rates/status/757725642876129280/photo/1,https://twitter.com/dog_rates/status/757725642876129280/photo/1",11,10,https://pbs.twimg.com/media/CoP7c4bWcAAr55g.jpg,1391,5022,None,2016,July,Monday,Beckham,2,Male
750117059602808832,2016-07-05 00:00:18+00:00,Twitter for iPhone,This is Calvin. He just loves America so much. 10/10 would roll around in flag with ,"https://twitter.com/dog_rates/status/750117059602808832/photo/1,https://twitter.com/dog_rates/status/750117059602808832/photo/1,https://twitter.com/dog_rates/status/750117059602808832/photo/1,https://twitter.com/dog_rates/status/750117059602808832/photo/1",10,10,https://pbs.twimg.com/media/Cmjzc-oWEAESFCm.jpg,1466,4740,None,2016,July,Tuesday,Calvin,4,Male
750101899009982464,2016-07-04 23:00:03+00:00,Twitter for iPhone,Meet Lilah. She agreed on one quick pic. Now she'd like to go mentally prepare for the onslaught of fireworks. 11/10 ,"https://twitter.com/dog_rates/status/750101899009982464/photo/1,https://twitter.com/dog_rates/status/750101899009982464/photo/1",11,10,https://pbs.twimg.com/media/Cmjlsh1XgAEvhq_.jpg,959,3344,None,2016,July,Monday,Lilah,2,Male
757741869644341248,2016-07-26 00:58:34+00:00,Twitter for iPhone,This is Leonard. He hides in bushes to escape his problems. 10/10 relatable af ,"https://twitter.com/dog_rates/status/757741869644341248/photo/1,https://twitter.com/dog_rates/status/757741869644341248/photo/1",10,10,https://pbs.twimg.com/media/CoQKNY7XYAE_cuX.jpg,3710,7613,None,2016,July,Tuesday,Leonard,2,Male
758405701903519748,2016-07-27 20:56:24+00:00,Twitter for iPhone,This is Odie. He falls asleep wherever he wants. Must be nice. 10/10 ,"https://twitter.com/dog_rates/status/758405701903519748/photo/1,https://twitter.com/dog_rates/status/758405701903519748/photo/1,https://twitter.com/dog_rates/status/758405701903519748/photo/1,https://twitter.com/dog_rates/status/758405701903519748/photo/1",10,10,https://pbs.twimg.com/media/CoZl9fXWgAMox0n.jpg,2204,5756,None,2016,July,Wednesday,Odie,4,Male
752173152931807232,2016-07-10 16:10:29+00:00,Twitter for iPhone,This is Brody. He's a lifeguard. Always prepared for rescue. 12/10 would fake drown just to get saved by him ,"https://twitter.com/dog_rates/status/752173152931807232/photo/1,https://twitter.com/dog_rates/status/752173152931807232/photo/1",12,10,https://pbs.twimg.com/media/CnBBfNuWcAAkOgO.jpg,2106,6569,None,2016,July,Sunday,Brody,2,Male
751937170840121344,2016-07-10 00:32:46+00:00,Twitter for iPhone,This is Ruby. Her ice cube is melting. She doesn't know what to do about it. 11/10 ,https://twitter.com/dog_rates/status/751937170840121344/photo/1,11,10,https://pbs.twimg.com/media/Cm9q2d3XEAAqO2m.jpg,1530,5770,None,2016,July,Sunday,Ruby,1,Male
751830394383790080,2016-07-09 17:28:29+00:00,Twitter for iPhone,This is Tucker. He's very camera shy. 12/10 would give stellar belly rubs to ,"https://twitter.com/dog_rates/status/751830394383790080/photo/1,https://twitter.com/dog_rates/status/751830394383790080/photo/1,https://twitter.com/dog_rates/status/751830394383790080/photo/1",12,10,https://pbs.twimg.com/media/Cm8JwBqW8AAFOEn.jpg,2227,6428,None,2016,July,Saturday,Tucker,3,Male
751598357617971201,2016-07-09 02:06:27+00:00,Twitter for iPhone,This is Toby. A cat got his tongue. 13/10 adorable af ,"https://twitter.com/dog_rates/status/751598357617971201/photo/1,https://twitter.com/dog_rates/status/751598357617971201/photo/1,https://twitter.com/dog_rates/status/751598357617971201/photo/1,https://twitter.com/dog_rates/status/751598357617971201/photo/1",13,10,https://pbs.twimg.com/media/Cm42t5vXEAAv4CS.jpg,3440,8699,None,2016,July,Saturday,Toby,4,Male
751538714308972544,2016-07-08 22:09:27+00:00,Twitter for iPhone,This is Max. She has one ear that's always slightly more alert than the other. 10/10 wonky af ,"https://twitter.com/dog_rates/status/751538714308972544/photo/1,https://twitter.com/dog_rates/status/751538714308972544/photo/1,https://twitter.com/dog_rates/status/751538714308972544/photo/1",10,10,https://pbs.twimg.com/media/Cm4AeG8XEAAulD2.jpg,1445,5547,None,2016,July,Friday,Max,3,Male
751251247299190784,2016-07-08 03:07:09+00:00,Twitter for iPhone,This is Gilbert. He's being chased by a battalion of miniature floof cows. 10/10 we all believe in you Gilbert ,https://twitter.com/dog_rates/status/751251247299190784/video/1,10,10,https://pbs.twimg.com/ext_tw_video_thumb/751250895690731520/pu/img/eziHbU1KbgZg-ijN.jpg,6695,13791,None,2016,July,Friday,Gilbert,1,Male
751205363882532864,2016-07-08 00:04:50+00:00,Twitter for iPhone,"""This photographer took pics of her best friend before and after she told them they were beautiful"" 12/10 ","https://twitter.com/dog_rates/status/751205363882532864/photo/1,https://twitter.com/dog_rates/status/751205363882532864/photo/1",12,10,https://pbs.twimg.com/media/CmzRRY1WcAEoxwY.jpg,2086,6948,None,2016,July,Friday,None,2,Male
750719632563142656,2016-07-06 15:54:42+00:00,Twitter for iPhone,This is Meyer. He has to hold somebody's hand during car rides. He's also wearing a seatbelt. 12/10 responsible af ,https://twitter.com/dog_rates/status/750719632563142656/photo/1,12,10,https://pbs.twimg.com/media/CmsXg9AWgAAs6Ui.jpg,5747,14621,None,2016,July,Wednesday,Meyer,1,Male
